Set_ID,Time,end_gen,ngen_expt,Ne,n_ind_exp,n_cages,sequence_length,r_msp,r,r_expt,mu_msp,mu,mu_neutral,shape,scale,mut_ratio,proj,LDdelta,pa,Vs,randomise,pdelta_method,bdelta_method,vA_true,vA_est,pdelta_est,pdelta_var_est,bdelta_intercept_est,bdelta_slope_est,seg_sites,bdelta_var_est,va_lost
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,18:11.1,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,1.53E-11,1.53E-07,5.09E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.039291069,0.039950596,0.359438324,0.119053706,0,0,1150,0_0_0,3.63E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,45:21.0,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,1.59E-11,1.59E-07,5.30E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.01262598,0.015732863,-0.521840797,0.031929697,0,0,1172,0_0_0,3.48E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,04:50.3,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,1.65E-11,1.65E-07,5.52E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.019810083,0.023086728,0.190978553,0.144072313,0,0,1243,0_0_0,2.16E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,31:45.9,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,1.72E-11,1.72E-07,5.73E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.012594665,0.012534252,-0.456685475,0.077033891,0,0,1331,0_0_0,4.72E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,56:53.9,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,1.78E-11,1.78E-07,5.94E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.020075628,0.023810546,-0.459835524,0.044218541,0,0,1310,0_0_0,3.49E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,13:03.1,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,1.85E-11,1.85E-07,6.15E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.031867497,0.045215772,0.171534431,0.17984697,0,0,1391,0_0_0,3.19E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,34:46.8,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,1.91E-11,1.91E-07,6.36E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.02635326,0.033008378,-0.239347588,0.078128596,0,0,1408,0_0_0,4.51E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,50:47.2,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,1.97E-11,1.97E-07,6.58E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.03784724,0.034775553,1.406785493,0.958764099,0,0,1455,0_0_0,2.64E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,06:23.6,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,2.04E-11,2.04E-07,6.79E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.027413865,0.022196845,-0.092089902,0.140551753,0,0,1526,0_0_0,4.88E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,24:13.4,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,2.10E-11,2.10E-07,7.00E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.022076274,0.01390638,-0.142115047,0.179768695,0,0,1581,0_0_0,6.14E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,41:49.0,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,2.16E-11,2.16E-07,7.21E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.027234197,0.018449968,0.195199012,0.181080332,0,0,1655,0_0_0,5.25E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,05:12.6,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,2.23E-11,2.23E-07,7.42E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.025368729,0.035415893,-0.52338164,0.038822456,0,0,1693,0_0_0,3.92E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,28:45.4,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,2.29E-11,2.29E-07,7.64E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.02236259,0.020857724,-0.255883598,0.04463797,0,0,1745,0_0_0,6.05E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,47:24.1,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,2.35E-11,2.35E-07,7.85E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.038706088,0.037463179,-0.115553256,0.087500429,0,0,1762,0_0_0,5.85E-05
