"","Set_ID","Time","end_gen","ngen_expt","Ne","n_ind_exp","n_cages","sequence_length","r_msp","r","r_expt","mu_msp","mu","mu_neutral","shape","scale","mut_ratio","proj","LDdelta","pa","Vs","randomise","pdelta_method","bdelta_method","va_true","vA_true","vA_est","vA_left","pdelta_emp","bdelta_intercept_emp","bdelta_slope_emp","sigma2delta_emp","pdelta_est","pdelta_var_est","bdelta_intercept_est","bdelta_slope_est","bdelta_var_est","sigma2delta_est","seg_sites","seg_sites_neu","seg_sites_ben","seg_sites_del","s_pmq","map_length_history","map_length_expt"
"23","bigfoot_2024-07-10_17:26:52.577914_1.2e-06_14_0.014_1000_10_3","2024-07-10 21:22:02.35545","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.0239366995439476",NA,NA,NA,-0.94126535375086,-0.00094113277057382,0.00255441713822475,8.69967813243165e-07,NA,NA,NA,NA,NA,NA,35033,9782,0,25251,0.00342804369296661,"14","0.014"
"25","biggar_2024-07-10_17:26:22.693345_1.2e-06_14_0.014_1000_10_3","2024-07-10 18:57:29.889456","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.0258192071348327",NA,NA,NA,-0.876357007572837,-0.001140948650879,0.00294782990429979,1.35763082035014e-06,NA,NA,NA,NA,NA,NA,35183,9677,0,25506,0.00343125077637838,"14","0.014"
"28","biggar_2024-07-10_17:26:22.703786_1.2e-06_0.014_0.014_1000_10_3","2024-07-10 17:51:14.215259","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.027096458090667",NA,NA,NA,-0.293232088413813,-0.00742394575587555,0.00763273843943013,8.44427790396593e-05,NA,NA,NA,NA,NA,NA,21264,5668,0,15596,0.00406219194982053,"0.014","0.014"
"30","biggar_2024-07-10_17:26:22.704887_1.2e-06_0.014_0.014_1000_10_3","2024-07-10 17:50:05.37294","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.0223482247758087",NA,NA,NA,-0.298545847487653,-0.00735490879836597,0.00745472687979827,7.75839445777868e-05,NA,NA,NA,NA,NA,NA,20122,4884,0,15238,0.00400120398059237,"0.014","0.014"
"32","biggar_2024-07-10_17:26:22.73723_1.2e-06_14_0.014_1000_10_3","2024-07-10 18:59:07.280874","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.0218460872736211",NA,NA,NA,-0.935954447086836,-0.000971109365643285,0.00255021619849165,8.04581078157016e-07,NA,NA,NA,NA,NA,NA,35380,9762,0,25618,0.00332746395881092,"14","0.014"
"34","biggar_2024-07-10_17:51:38.252525_1.2e-06_1.4_0.014_1000_10_3","2024-07-10 18:39:28.907051","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.0247943638622334",NA,NA,NA,-0.738809474437006,-0.00207048645564192,0.0043426109208948,3.59642678553001e-06,NA,NA,NA,NA,NA,NA,29271,7821,0,21450,0.00374707223780538,"1.4","0.014"
"36","biggar_2024-07-10_18:15:53.338484_1.2e-06_14_0.014_1000_10_3","2024-07-10 19:46:57.845473","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.0248535690257079",NA,NA,NA,-0.915004426617389,-0.00102292136800128,0.00274469316144756,1.0478968503465e-06,NA,NA,NA,NA,NA,NA,35168,9798,0,25370,0.00343766889400442,"14","0.014"
"38","biggar_2024-07-10_18:19:07.646173_1.2e-06_0.014_0.014_1000_10_3","2024-07-10 18:43:49.145401","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.0232631007041014",NA,NA,NA,-0.307759984018077,-0.00767887132517147,0.00764049768142869,8.28645228088329e-05,NA,NA,NA,NA,NA,NA,19862,4781,0,15081,0.00415811290714527,"0.014","0.014"
"40","biggar_2024-07-10_18:21:53.028345_1.2e-06_0.14_0.014_1000_10_3","2024-07-10 18:51:46.093863","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.0204821073177795",NA,NA,NA,-0.407779598556605,-0.00637863981249861,0.00720327686526239,3.36741721218382e-05,NA,NA,NA,NA,NA,NA,22130,5940,0,16190,0.00405825331215817,"0.14","0.014"
"42","biggar_2024-07-10_18:23:07.678244_1.2e-06_14_0.014_1000_10_3","2024-07-10 19:53:20.851115","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.0244228839759214",NA,NA,NA,-0.925509000616752,-0.00101129664199408,0.00268750225716105,9.85134959775743e-07,NA,NA,NA,NA,NA,NA,34630,9354,0,25276,0.00340709271690468,"14","0.014"
"44","bigshot_2024-07-10_17:26:22.722733_1.2e-06_0.014_0.014_1000_10_3","2024-07-10 18:15:22.899163","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.020959287360361",NA,NA,NA,-0.28908800075662,-0.0076627938148349,0.00748270959742265,8.79548774791635e-05,NA,NA,NA,NA,NA,NA,19697,5371,0,14326,0.0040593721115247,"0.014","0.014"
"47","bigshot_2024-07-10_17:26:52.871173_1.2e-06_0.014_0.014_1000_10_3","2024-07-10 18:18:50.029391","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.0233130706323068",NA,NA,NA,-0.35270840934933,-0.00697398577104449,0.00750404309372783,5.19447197047587e-05,NA,NA,NA,NA,NA,NA,22433,6388,0,16045,0.0040732094984907,"0.014","0.014"
"49","bigshot_2024-07-10_17:26:52.901964_1.2e-06_1.4_0.014_1000_10_3","2024-07-10 18:57:22.398935","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.0246666686100197",NA,NA,NA,-0.685204502669471,-0.00221990614851342,0.00445717130306453,4.88086793019797e-06,NA,NA,NA,NA,NA,NA,29547,8120,0,21427,0.00365451771463156,"1.4","0.014"
"51","bigshot_2024-07-10_18:44:37.760796_1.2e-06_1.4_0.014_1000_10_3","2024-07-10 20:16:02.790773","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-08,"2.25563909774436e-10",1.2e-06,"6e-08","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate","0.0259422536758667",NA,NA,NA,-0.656306766451499,-0.00244262032772602,0.00465330831832661,5.87248436878473e-06,NA,NA,NA,NA,NA,NA,29840,8039,0,21801,0.00358118663484642,"1.4","0.014"
