"","Set_ID","Time","end_gen","ngen_expt","Ne","n_ind_exp","n_cages","sequence_length","r_msp","r","r_expt","mu_msp","mu","mu_neutral","shape","scale","mut_ratio","proj","LDdelta","pa","Vs","randomise","pdelta_method","bdelta_method","vA_true","vA_est","pdelta_est","pdelta_var_est","bdelta_intercept_est","bdelta_slope_est","seg_sites","bdelta_var_est","vA_left","map_length","map_length_expt","map_length_history"
"33","bigfoot_2024-07-06_16:44:49.581084_1.2e-06_0.014_0.14_1000_10","2024-07-06 17:53:57.967584","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-07,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0197381307163875,0.00778871960341502,-0.0469835850791302,"0.0835059733880404",0.00281814110174148,0.00435688152893202,"14644","4.91859015521126e-06_1.7436957056155e-06_-7.72093228555727e-08",0.0197381307163875,"0.014","0.14","0.014"
"35","bigfoot_2024-07-06_17:56:21.059124_1.2e-06_1.4_1.4_1000_10","2024-07-06 20:22:11.079582","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-06,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0240829618705221,0.00870166707128499,-0.279124328828955,"0.441820057484622",-0.00151751526806008,0.00386744332825538,"21258","5.22963713117017e-07_4.77682521258336e-07_2.43227601926549e-08",0.0240829618705221,"1.4","1.4","1.4"
"37","bigfoot_2024-07-06_18:12:49.589325_1.2e-06_0.014_0.14_1000_10","2024-07-06 19:16:00.854266","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-07,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0178445375856045,0.0262641932402891,0.169587410501463,"0.0685501621199489",-0.00083350819505513,0.00520522260040239,"15611","5.73502238721262e-06_3.016806881856e-06_4.85036641726538e-08",0.0178445375856045,"0.014","0.14","0.014"
"39","bigfoot_2024-07-06_19:16:04.595217_1.2e-06_1.4_1.4_1000_10","2024-07-06 22:12:48.688709","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-06,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0258804316343938,0.0122174841733328,-0.152533993122711,"0.442312563344564",0.000724527694553504,0.00393715049952405,"22091","6.09933985185531e-07_5.98360340647486e-07_8.05202253244482e-08",0.0258804316343938,"1.4","1.4","1.4"
"41","bigfoot_2024-07-06_20:22:19.830699_1.2e-06_1.4_0.014_1000_10","2024-07-06 23:43:41.333282","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-08,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0234772521618453,0.00923424547786542,0.721810712964531,"2.78153864078181",0.000884862627955724,0.00231558373676053,"21747","6.24154397622058e-07_6.35033295619054e-07_4.24817780131048e-08",0.0234772521618453,"1.4","0.014","1.4"
"43","bigfoot_2024-07-06_22:15:05.894945_1.2e-06_0.14_1.4_1000_10","2024-07-06 23:50:50.003422","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-06,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0191332155642345,0.00575914564640465,-0.261665994396311,"0.24141781962514",-0.000244400959046576,0.00355752071746363,"15735","2.74615639728061e-06_6.8408949579563e-07_-1.74865735101634e-07",0.0191332155642345,"0.14","1.4","0.14"
"45","bigfoot_2024-07-06_23:45:50.413358_1.2e-06_0.014_1.4_1000_10","2024-07-07 00:58:29.474577","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-06,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0178532747510953,0.0153845795957842,-0.225870503230796,"0.0457619608576845",-0.00266319714981506,0.00505800891607815,"15115","5.87943520317303e-06_2.19627801779094e-06_-4.35539101538766e-07",0.0178532747510953,"0.014","1.4","0.014"
"47","bigfoot_2024-07-06_23:51:04.632764_1.2e-06_0.14_1.4_1000_10","2024-07-07 01:21:47.060041","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-06,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0206474968920817,0.00975485778658927,-0.334293950254659,"0.0572754767247973",-0.00172221952111958,0.00308968384117867,"16403","2.69742941768698e-06_1.08407580194469e-06_-9.68140081754627e-08",0.0206474968920817,"0.14","1.4","0.14"
"49","bigfoot_2024-07-07_01:00:34.613757_1.2e-06_0.014_0.14_1000_10","2024-07-07 02:10:14.115372","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-07,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0172262675229201,0.0157543574512296,0.37200829640321,"0.143678563257788",0.000553496457344873,0.00820595663380927,"15304","4.17468037610175e-06_2.88721598604904e-06_-2.69986444607726e-07",0.0172262675229201,"0.014","0.14","0.014"
"51","bigfoot_2024-07-07_01:22:04.625761_1.2e-06_0.14_0.014_1000_10","2024-07-07 02:47:31.474257","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-08,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0245294288509334,0.0108015300393079,0.183521027020065,"0.168838167337661",0.00119809045956623,0.00413426757793736,"17020","2.02776455535124e-06_9.52855422049143e-07_-4.572403799047e-08",0.0245294288509334,"0.14","0.014","0.14"
"53","bigfoot_2024-07-07_02:10:19.59925_1.2e-06_1.4_0.014_1000_10","2024-07-07 05:06:32.312884","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-08,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0248554006806253,0.00873862426122826,0.294518266129921,"0.8151332410163",-0.000303356702248767,0.00403016478541878,"21548","6.2658388838913e-07_5.72523204791542e-07_-1.36215362090183e-08",0.0248554006806253,"1.4","0.014","1.4"
"55","biggar_2024-07-06_15:48:19.625217_1.2e-06_0.014_0.014_1000_10","2024-07-06 16:18:11.255953","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-08,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0189799052347654,0.0334164664219479,0.385959392764655,"0.0598881037217217",-0.00208970580050119,0.00604609324432069,"15756","6.1169272549652e-06_2.63347756392617e-06_1.7255162636948e-07",0.0189799052347654,"0.014","0.014","0.014"
"57","biggar_2024-07-06_15:48:19.628622_1.2e-06_0.14_0.14_1000_10","2024-07-06 16:26:13.40252","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-07,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0227246692583719,0.00585082723155689,-0.207321369576218,"0.179849441319608",-0.00283375715638157,0.0034824350729045,"17076","1.45284949312044e-06_5.72773931347529e-07_-1.38931061125013e-07",0.0227246692583719,"0.14","0.14","0.14"
"59","biggar_2024-07-06_16:18:20.277112_1.2e-06_1.4_1.4_1000_10","2024-07-06 17:45:47.188688","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-06,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0243579206682239,0.00355400856587826,-0.824701717519047,"1.33985069599725",-0.000145360729875682,0.00389751943799616,"21442","4.38110966085629e-07_3.90188285003095e-07_5.86803018744643e-09",0.0243579206682239,"1.4","1.4","1.4"
"61","biggar_2024-07-06_16:26:19.63142_1.2e-06_0.014_0.014_1000_10","2024-07-06 16:51:22.741938","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-08,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0165718497765914,0.00539220634977994,0.171217360050162,"0.644893199469897",0.00286727916795493,0.00221500310585818,"14638","4.82332150054872e-06_8.5678559075938e-07_1.35314792575229e-07",0.0165718497765914,"0.014","0.014","0.014"
"63","biggar_2024-07-06_16:51:34.677249_1.2e-06_0.014_1.4_1000_10","2024-07-06 17:25:42.076471","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-06,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0203068678869122,0.0122058942202256,-0.235818181378395,"0.0581520083651269",0.00159246471769668,0.00813732036001046,"15594","4.32935297207953e-06_2.72108194227666e-06_3.1799708793451e-07",0.0203068678869122,"0.014","1.4","0.014"
"65","biggar_2024-07-06_17:25:51.87735_1.2e-06_1.4_0.014_1000_10","2024-07-06 18:39:54.53478","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-08,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0281456665579918,0.00437117562251664,0.26357331439055,"1.73805191302403",-0.000411605865854173,0.00374839524946258,"21452","5.68924147608738e-07_4.51498784768214e-07_-3.00143415088349e-08",0.0281456665579918,"1.4","0.014","1.4"
"67","biggar_2024-07-06_17:46:04.629967_1.2e-06_1.4_0.14_1000_10","2024-07-06 18:44:38.293982","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-07,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0238273006489556,0.000153765729662953,-0.00045277010940481,"-355.483875776269",-0.000105798547760556,0.0016319825632749,"21525","4.26549642396952e-07_3.88865693869575e-07_1.42137384846207e-08",0.0238273006489556,"1.4","0.14","1.4"
"69","biggar_2024-07-06_18:40:51.281045_1.2e-06_0.014_1.4_1000_10","2024-07-06 19:11:40.709011","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-06,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0205928066987761,0.0101580688449219,-0.166088052069353,"0.0706231343574704",-0.000725540604486499,0.00435401354958206,"15405","3.32390829767438e-06_1.38916670949447e-06_-3.60964478259065e-07",0.0205928066987761,"0.014","1.4","0.014"
"71","biggar_2024-07-06_18:44:49.631783_1.2e-06_0.14_0.14_1000_10","2024-07-06 19:24:49.799594","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-07,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.022344618325383,0.00759360581504378,0.341751470811093,"0.26748007672206",-0.00100644205431138,0.00468714607522481,"16685","2.25150711427343e-06_1.09918048744267e-06_-1.5892515618454e-07",0.022344618325383,"0.14","0.14","0.14"
