"","Set_ID","Time","end_gen","ngen_expt","Ne","n_ind_exp","n_cages","sequence_length","r_msp","r","r_expt","mu_msp","mu","mu_neutral","shape","scale","mut_ratio","proj","LDdelta","pa","Vs","randomise","pdelta_method","bdelta_method","vA_true","vA_est","pdelta_est","pdelta_var_est","bdelta_intercept_est","bdelta_slope_est","seg_sites","bdelta_var_est","vA_left","map_length","map_length_expt","map_length_history"
"93","biggar_2024-07-06_23:39:51.469021_1.2e-06_0.014_0.14_1000_10","2024-07-07 00:12:46.07114","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-07,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0156362328955403,0.0106309581499028,0.378710466615989,"0.147692813181985",-0.000707218059291292,0.00684825737910329,"15037","5.03739962649488e-06_3.43107595769106e-06_6.15096844666365e-08",0.0156362328955403,"0.014","0.14","0.014"
"95","biggar_2024-07-06_23:46:04.650379_1.2e-06_0.14_0.014_1000_10","2024-07-07 00:25:18.92018","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-08,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0237865280725855,0.0090605652033264,0.154703010548254,"0.133881292418247",0.00119791639819515,0.00348562488705784,"16558","2.32386564612351e-06_7.1857145507928e-07_-1.42829113054813e-08",0.0237865280725855,"0.14","0.014","0.14"
"97","biggar_2024-07-07_00:12:49.633278_1.2e-06_1.4_0.14_1000_10","2024-07-07 01:36:02.129904","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-07,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0222126395543033,0.00245899676183145,2,"160.688582795177",0.000560497978690748,0.00402917722138448,"21343","4.36830700384078e-07_5.06711866989449e-07_9.30027999284113e-09",0.0222126395543033,"1.4","0.14","1.4"
"99","biggar_2024-07-07_00:25:34.606805_1.2e-06_1.4_1.4_1000_10","2024-07-07 01:46:31.775118","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-06,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0242526218238863,0.00837866301084751,-0.179585524052776,"0.359488987566455",-6.56780260255493e-06,0.00233400011720948,"21821","5.2017688656388e-07_4.51884947671004e-07_1.46673940967194e-08",0.0242526218238863,"1.4","1.4","1.4"
"101","biggar_2024-07-07_01:36:20.103965_1.2e-06_0.14_0.14_1000_10","2024-07-07 02:12:37.991314","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-07,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0173399592894771,0.00695491500954758,0.03775561303676,"0.12687606875237",0.000202218182600094,0.00288896790734761,"16081","3.13386558042904e-06_9.73417470474819e-07_-1.09892163395915e-07",0.0173399592894771,"0.14","0.14","0.14"
"103","biggar_2024-07-07_01:46:49.634117_1.2e-06_0.14_1.4_1000_10","2024-07-07 02:27:19.176889","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-06,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0205225379764355,0.0189183802369861,-0.4613470769499,"0.0315527667674565",0.00114949594001404,0.002921846967006,"17088","2.44406655392023e-06_6.71340508913387e-07_-3.18510782193948e-08",0.0205225379764355,"0.14","1.4","0.14"
"105","biggar_2024-07-07_02:12:51.709189_1.2e-06_1.4_0.14_1000_10","2024-07-07 03:18:32.052948","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-07,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0216738021156398,0.00629975994090344,-0.0699294808299052,"0.577864288614801",0.00142609694531201,0.004534576185051,"21235","5.43058598002939e-07_5.67756803709754e-07_2.71214136348302e-08",0.0216738021156398,"1.4","0.14","1.4"
"107","bigshot_2024-07-06_15:48:19.718873_1.2e-06_1.4_0.14_1000_10","2024-07-06 19:00:08.195038","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-07,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0239558592236257,0.0045099577349128,1.63259489853643,"12.2947307966163",-0.00025738283430784,0.0039397008895141,"21102","5.11590891565025e-07_5.09588104972319e-07_3.45362204844554e-08",0.0239558592236257,"1.4","0.14","1.4"
"109","bigshot_2024-07-06_15:48:19.726605_1.2e-06_0.14_0.014_1000_10","2024-07-06 16:59:43.222214","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-08,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0197192166128562,0.00610378739229207,0.311609859175297,"0.397673023560114",-0.000407366297557309,0.00215186191650946,"15726","1.90458604907523e-06_5.35758941796311e-07_-2.62679403798152e-08",0.0197192166128562,"0.14","0.014","0.14"
"111","bigshot_2024-07-06_16:59:49.642645_1.2e-06_0.14_0.14_1000_10","2024-07-06 18:56:23.043161","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-07,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0195015225730764,0.0120326754163906,0.123276276936094,"0.121021248693394",0.00105372758089218,0.00387582824607906,"17328","1.9957068871888e-06_1.20765218318074e-06_1.68088897492122e-07",0.0195015225730764,"0.14","0.14","0.14"
"113","bigshot_2024-07-06_18:59:36.107001_1.2e-06_0.14_1.4_1000_10","2024-07-06 20:09:48.802896","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-06,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0196194980570849,0.0137061871260311,0.17002849515453,"0.181382519030281",-0.000171312647410391,0.00268929035490214,"16894","2.86391062000774e-06_7.77879434580122e-07_-5.05360648757539e-08",0.0196194980570849,"0.14","1.4","0.14"
"115","bigshot_2024-07-06_19:00:19.639608_1.2e-06_1.4_0.014_1000_10","2024-07-06 23:35:05.456953","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-08,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0249088358839859,0.0015207419315995,1.7206441862946,"7715.87107211228",1.76343118925321e-05,0.00392052561629584,"21448","4.30066182584533e-07_3.4117047846763e-07_-1.55279798883264e-08",0.0249088358839859,"1.4","0.014","1.4"
"117","bigshot_2024-07-06_20:10:04.671764_1.2e-06_0.14_0.14_1000_10","2024-07-06 21:54:18.79169","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-07,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0195009282414031,0.00710596200209383,-0.0902608517891641,"0.0775581706775232",0.000294745839027312,0.00281473168170139,"16263","2.59583169650455e-06_5.86284096817346e-07_6.35439901949901e-08",0.0195009282414031,"0.14","0.14","0.14"
"119","bigshot_2024-07-06_23:17:36.144529_1.2e-06_1.4_1.4_1000_10","2024-07-07 02:29:56.276856","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-06,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0232688692167754,0.00333780896177399,-0.420116224040588,"2.825563764747",-0.00104694765404011,0.00358625915630596,"21479","4.01145969245878e-07_3.5667176276586e-07_7.8577346731435e-09",0.0232688692167754,"1.4","1.4","1.4"
"121","bigshot_2024-07-06_23:35:19.664433_1.2e-06_0.014_0.014_1000_10","2024-07-07 00:36:59.171873","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-08,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0188156383093485,0.0205334401352138,0.268072734038634,"0.0713045219057075",0.000734263566285412,0.00719388533601603,"14995","4.92768556487665e-06_2.92916307143977e-06_2.87142052383356e-07",0.0188156383093485,"0.014","0.014","0.014"
"123","bigshot_2024-07-07_00:37:04.639079_1.2e-06_0.014_0.014_1000_10","2024-07-07 02:14:04.052694","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-08,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0204151117953518,0.0134349636695609,0.116193972878897,"0.115153896425847",0.00173353134029367,0.00446947343731416,"15710","5.47613056585665e-06_2.61018238143231e-06_1.79202630634315e-07",0.0204151117953518,"0.014","0.014","0.014"
"125","bigshot_2024-07-07_02:18:51.106828_1.2e-06_1.4_1.4_1000_10","2024-07-07 04:32:44.012474","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-06,"2.25563909774436e-10",1.2e-06,"7.5187969924812e-11","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","optim","estimate",0.0247963362998131,0.0252400010319618,-2,"0.109046312830678",8.03407538156693e-05,0.00200274752498177,"21373","4.05082568936832e-07_3.86227656457475e-07_-5.41603043751224e-08",0.0247963362998131,"1.4","1.4","1.4"
