"","Set_ID","Time","end_gen","ngen_expt","Ne","n_ind_exp","n_cages","sequence_length","r_msp","r","r_expt","mu_msp","mu","mu_neutral","shape","scale","mut_ratio","proj","LDdelta","pa","Vs","randomise","pdelta_method","bdelta_method","vA_true","vA_est","pdelta_est","pdelta_var_est","bdelta_intercept_est","bdelta_slope_est","seg_sites","bdelta_var_est","vA_left","seg_sites_neu","seg_sites_ben","seg_sites_del","s_pmq","map_length_history","map_length_expt"
"26","bigbird_2024-07-10_02:26:52.654597_1.2e-06_14_1.4_1000_10","2024-07-10 05:45:02.037782","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,26240,NA,NA,1081,0,25159,0.0047271602256365,"14","1.4"
"28","bigbird_2024-07-10_02:39:52.598633_1.2e-06_0.014_0.14_1000_10","2024-07-10 03:06:04.710554","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,15218,NA,NA,536,0,14682,0.00434804366833459,"0.014","0.14"
"30","bigbird_2024-07-10_03:12:22.611081_1.2e-06_1.4_1.4_1000_10","2024-07-10 04:16:47.5747","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,22282,NA,NA,887,0,21395,0.00485246047267745,"1.4","1.4"
"32","bigbird_2024-07-10_03:17:37.627186_1.2e-06_14_0.014_1000_10","2024-07-10 06:47:11.349869","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,26229,NA,NA,1081,0,25148,0.0048701280061041,"14","0.014"
"34","bigbird_2024-07-10_03:26:22.641407_1.2e-06_14_1.4_1000_10","2024-07-10 06:53:06.330677","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,26332,NA,NA,1062,0,25270,0.00483545699114008,"14","1.4"
"36","bigbird_2024-07-10_04:08:12.782846_1.2e-06_14_0.014_1000_10","2024-07-10 07:20:13.190917","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,26586,NA,NA,1070,0,25516,0.00478366382878942,"14","0.014"
"38","bigbird_2024-07-10_04:19:52.603876_1.2e-06_0.014_0.014_1000_10","2024-07-10 04:47:15.935735","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,15866,NA,NA,636,0,15230,0.00461764607670707,"0.014","0.014"
"40","bigbird_2024-07-10_04:47:37.59484_1.2e-06_0.14_1.4_1000_10","2024-07-10 05:19:11.863816","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,17190,NA,NA,639,0,16551,0.00467749484048396,"0.14","1.4"
"42","bigbird_2024-07-10_05:01:37.622053_1.2e-06_1.4_1.4_1000_10","2024-07-10 06:10:14.193182","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,21972,NA,NA,920,0,21052,0.00474207739179881,"1.4","1.4"
"44","bigbird_2024-07-10_05:30:07.602039_1.2e-06_0.014_0.014_1000_10","2024-07-10 05:57:12.317644","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,15617,NA,NA,663,0,14954,0.00407259810905523,"0.014","0.014"
"46","bigbird_2024-07-10_05:46:07.642788_1.2e-06_0.14_0.014_1000_10","2024-07-10 06:17:45.0272","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,16556,NA,NA,674,0,15882,0.00445025616522129,"0.14","0.014"
