Set_ID,sim,Time,end_gen,ngen1,ngen2,Ne,n_ind,n_ind_exp,n_cages,sequence_length,r_msp,r,r_expt,mu_msp,mu,mu_expt,shape,scale,mut_ratio,flip_sel_coef,Ve_w,Ve_w_expt,proj,LDalpha,pa,Vs,randomise,palpha_method,balpha_method,Ne_exp,va_true,vA_true,vA_est,vA_alpha_emp,vA_BC,Ne_BC,Residual_var,palpha_emp,balpha_intercept_emp,balpha_slope_emp,sigma2alpha_emp,palpha_est,palpha_var_est,balpha_intercept_est,balpha_slope_est,balpha_var_est,sigma2alpha_est,seg_sites,seg_sites_neu,seg_sites_ben,seg_sites_del,mean_diversity,theta,all.gp,analysis_stamp
Set_3_bigbird_2024-12-15_15-24-41.647884_2.51717171717172e-08_25_15_1000_10_4_0_0,1,2024-12-15 16:34:44.133361,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,2.5e-05,1.5e-05,2.51717171717172e-08,2.51717171717172e-07,0,0.3,0.1,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0158505655097845,0.014880893827387,0.0348818799446136,0.0224849944110052,NA,NA,1.16825903170771,-1.66686098505681,6.81394719160817e-06,0.000247979671704145,9.06008509724739e-09,-1.4819740564701,0.238749458495789,0.000556701419000637,0.00136226229997348,2.13099988824408e-07_6.57127105758473e-07_5.35846589984217e-09,5.41826395671343e-08,29765,25076,2362,2327,0.0265577311103645,0.003639701646308,FALSE,biggar_2024-12-16_02-51-39.215906
Set_3_bigbird_2024-12-15_15-24-41.648939_2.08686868686869e-08_25_15_1000_10_4_0_0,1,2024-12-15 16:30:59.337592,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,2.5e-05,1.5e-05,2.08686868686869e-08,2.08686868686869e-07,0,0.3,0.1,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0146970507144614,0.0143096676109845,0.0211776774297054,0.0223617616404096,NA,NA,1.22057585429421,-1.74335832166414,3.21307189032348e-06,0.00019274157948055,5.08509688695801e-09,0.0188406911547645,1.64315838418639,0.000224267541125206,0.0011960348788612,2.49337859288637e-07_7.14086930913822e-07_1.67556889560112e-08,2.81623719974831e-05,29631,25707,1941,1983,0.0266694482973912,0.00362331595772727,FALSE,bigbird_2024-12-16_03-26-14.441022
Set_3_bigbird_2024-12-15_15-26-26.605978_3.23434343434343e-08_25_15_1000_10_4_0_0,1,2024-12-15 16:41:21.092744,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,2.5e-05,1.5e-05,3.23434343434343e-08,3.23434343434343e-07,0,0.3,0.1,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0192311080403863,0.0192489912607545,0.00129431598226423,0.0267418304999223,NA,NA,1.16262734476603,-1.64709419647829,9.06852432137287e-07,0.000302307961846439,1.18861554466149e-08,-0.0466678657176089,-16.3064547039212,5.94828015759896e-05,0.00116890580987874,2.3365482289629e-07_6.49407679159567e-07_5.00785497494009e-09,1.47491571335813e-06,29975,23835,3091,3049,0.0250004283069224,0.00366538071050167,FALSE,bigfoot_2024-12-16_03-24-42.443194
Set_3_bigbird_2024-12-15_15-58-41.656121_3.52121212121212e-08_25_15_1000_10_4_0_0,1,2024-12-15 17:13:06.063748,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,2.5e-05,1.5e-05,3.52121212121212e-08,3.52121212121212e-07,0,0.3,0.1,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0232885639702851,0.0220892414877588,0.00116159213899311,0.0332850555675106,NA,NA,1.2440159175963,-1.66551768044271,-1.37312809451273e-05,0.000352704550948863,1.28643301196135e-08,0.00207221637538169,176.820106585615,-0.000124668937884173,0.00222362258666453,2.26957663360262e-07_6.46806632650177e-07_1.26393576993302e-08,7.96170273396009e-09,29859,23330,3132,3397,0.0251212368130212,0.00365119608456612,FALSE,biggar_2024-12-16_02-52-44.914808
Set_3_bigbird_2024-12-15_16-35-26.642507_4.95555555555556e-08_25_15_1000_10_4_0_0,1,2024-12-15 18:00:34.475481,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,2.5e-05,1.5e-05,4.95555555555556e-08,4.95555555555556e-07,0,0.3,0.1,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.033148994950312,0.0331667575624063,0.0412114380198088,0.0440828338563046,NA,NA,1.26362707286251,-1.57452312905606,-3.86685978669173e-06,0.000635883338286441,3.24412034434185e-08,-1.09320928082857,0.197732969668452,-0.000225002390652048,0.00119634758674356,3.10344639563272e-07_8.84731582652283e-07_1.39621627784716e-08,8.07146539264834e-07,29880,20666,4634,4580,0.0232643632655622,0.00365376399098548,FALSE,bigbird_2024-12-16_03-32-35.650742
Set_3_bigbird_2024-12-15_16-42-26.598061_5.52929292929293e-08_25_15_1000_10_4_0_0,1,2024-12-15 18:10:54.136174,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,2.5e-05,1.5e-05,5.52929292929293e-08,5.52929292929293e-07,0,0.3,0.1,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0347621487324536,0.034674101808751,0.0471537766818828,0.0439533065664788,NA,NA,1.22718333272021,-1.56425964894356,-8.76941762883877e-06,0.000695583212412858,3.45862609566007e-08,-0.866394253917389,0.174987580752015,0.000679945365293317,0.000273012083903702,2.9989923792309e-07_7.78749517301287e-07_-1.67053756308888e-08,3.17300067672284e-06,29953,19687,5102,5164,0.0233832167687711,0.00366269052282424,FALSE,bigwig_2024-12-16_03-33-09.926457
Set_3_bigbird_2024-12-15_17-20-41.608935_6.53333333333333e-08_25_15_1000_10_4_0_0,1,2024-12-15 18:55:23.810462,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,2.5e-05,1.5e-05,6.53333333333333e-08,6.53333333333333e-07,0,0.3,0.1,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0427978900856868,0.0423696615980979,0.0352873247545805,0.0527296791874823,NA,NA,1.11392375213351,-1.55053207378461,-1.83516256509883e-05,0.000837820527993332,4.41301876170978e-08,-1.50741515572088,0.225479423815625,-0.000522691930779903,0.00134957676538408,2.8055342137013e-07_7.22670604195333e-07_-7.26131454558533e-09,4.04364603660912e-08,30174,18316,5858,6000,0.0222420451589116,0.00368971468085663,FALSE,bigfoot_2024-12-16_03-30-20.493496
Set_3_bigbird_2024-12-15_17-30-57.021449_7.10707070707071e-08_25_15_1000_10_4_0_0,1,2024-12-15 19:08:13.193767,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,2.5e-05,1.5e-05,7.10707070707071e-08,7.10707070707071e-07,0,0.3,0.1,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0454395587187454,0.0443631273251823,0.0332559424681169,0.0561320181982652,NA,NA,1.412545400168,-1.5451057917804,1.27558385299402e-05,0.000906935896327363,4.7726256036544e-08,0.352923218542855,8.17819748911538,-9.64362463763746e-05,0.00192278936243037,3.85538118233455e-07_1.03516752407021e-06_2.58304922146662e-08,0.000130965439333,30019,17093,6578,6348,0.0212727022219261,0.00367076108585653,FALSE,biggar_2024-12-16_02-53-17.74818
Set_3_bigbird_2024-12-15_18-16-56.58596_8.3979797979798e-08_25_15_1000_10_4_0_0,1,2024-12-15 20:00:22.128939,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,2.5e-05,1.5e-05,8.3979797979798e-08,8.3979797979798e-07,0,0.3,0.1,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0558720679839279,0.0545266207192131,0.0519390479185469,0.0676651070827563,NA,NA,1.24548745500712,-1.49848022133659,1.86766633875726e-05,0.00120287666267399,8.02611386566867e-08,-0.953322838151037,0.105112975443068,0.000309423976944091,0.0016327749452336,3.3057097120584e-07_9.62690841286555e-07_2.37031809979578e-08,2.23999344889423e-06,30003,15218,7442,7343,0.0206613337291271,0.00366880458572749,FALSE,bigbird_2024-12-16_03-35-05.360341
Set_3_bigbird_2024-12-15_18-40-11.591393_8.68484848484849e-08_25_15_1000_10_4_0_0,1,2024-12-15 20:26:25.770185,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,2.5e-05,1.5e-05,8.68484848484849e-08,8.68484848484849e-07,0,0.3,0.1,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0556151681444077,0.0556834001649113,0.0307772759634874,0.0632591523388043,NA,NA,1.23527795225235,-1.4434734993284,-1.18040321112554e-05,0.00140831439540125,1.11395529125007e-07,-0.200832974314835,4.01765861143221,-0.000552668885550639,-0.000448889682875007,3.52848685935913e-07_8.8039445662766e-07_7.15417819287138e-09,2.85461715037663e-05,29913,14615,7477,7821,0.020227082288637,0.00365779927250163,FALSE,bigwig_2024-12-16_03-25-21.488686
