Set_ID,sim,Time,end_gen,ngen1,ngen2,Ne,n_ind,n_ind_exp,n_cages,sequence_length,r_msp,r,r_expt,mu_msp,mu,mu_expt,shape,scale,mut_ratio,flip_sel_coef,Ve_w,Ve_w_expt,vA_true,vA_true_new,va_true,va_true_new,va_left,va_left_new,time_stamp_va_left
Set_11_bigbird_2024-12-31_01-47-56.63848_1.97127272727273e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 02:47:21.067692,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.97127272727273e-07,1.97127272727273e-06,0,0.3,0.033,2e-04,0,1,1,0.0391724500970659,0.0374945605686552,0.0388461746561728,0.0371220491998383,0.03447567266979,0.0331000544945105,ac3-n6_2025-04-08_19-36-56.230531
Set_11_bigbird_2024-12-31_02-08-26.628148_2.12290909090909e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 03:12:36.189467,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,2.12290909090909e-07,2.12290909090909e-06,0,0.3,0.033,2e-04,0,1,1,0.0380782673526283,0.0364025654223456,0.0435476138618848,0.0418303051070618,0.038469139958767,0.0370915125077631,ac3-n6_2025-04-08_19-36-59.868724
Set_11_bigbird_2024-12-31_02-19-27.046947_2.27454545454545e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 03:27:12.425406,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,2.27454545454545e-07,2.27454545454545e-06,0,0.3,0.033,2e-04,0,1,1,0.0523389748655886,0.0500690832503788,0.0469311648880268,0.0449724707738582,0.0411900354282,0.0396346653699816,ac3-n6_2025-04-08_19-38-40.633183
Set_11_bigbird_2024-12-31_02-38-56.647368_2.37563636363636e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 03:48:41.427374,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,2.37563636363636e-07,2.37563636363636e-06,0,0.3,0.033,2e-04,0,1,1,0.0465552492277704,0.0443802793164366,0.0453988151717149,0.043467124683428,0.0400187078499541,0.0384936104662799,ac3-n5_2025-04-08_20-50-42.68388
Set_11_bigbird_2024-12-31_02-48-41.600297_2.57781818181818e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 03:59:14.525613,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,2.57781818181818e-07,2.57781818181818e-06,0,0.3,0.033,2e-04,0,1,1,0.0495468085676114,0.047250294066838,0.0497539325668998,0.047659016493812,0.0437927221469719,0.042114251721415,ac3-n6_2025-04-08_21-19-19.989288
Set_11_bigbird_2024-12-31_02-50-11.601777_2.67890909090909e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 04:05:32.227928,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,2.67890909090909e-07,2.67890909090909e-06,0,0.3,0.033,2e-04,0,1,1,0.0472051925204832,0.0448530491402331,0.0539578722647483,0.0518477327103991,0.0472298988621408,0.0455672956659915,ac3-n6_2025-04-08_21-15-40.950206
Set_11_bigbird_2024-12-31_03-15-11.603072_2.78e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 04:31:03.336734,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,2.78e-07,2.78e-06,0,0.3,0.033,2e-04,0,1,1,0.0520814116091759,0.049473984900056,0.0583093126014881,0.0556396829032605,0.0513315893565082,0.0491785245692018,ac3-n6_2025-04-08_21-29-26.221116
Set_11_bigbird_2024-12-31_03-29-41.627638_2.93163636363636e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 04:46:07.912513,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,2.93163636363636e-07,2.93163636363636e-06,0,0.3,0.033,2e-04,0,1,1,0.0495019742883983,0.0470521724543477,0.0581103632368094,0.0555573880835907,0.0510081115037013,0.0489737470320755,ac3-n6_2025-04-08_21-26-04.417591
Set_11_bigbird_2024-12-31_03-51-26.564883_3.08327272727273e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 05:15:00.153756,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,3.08327272727273e-07,3.08327272727273e-06,0,0.3,0.033,2e-04,0,1,1,0.0609635696233793,0.0582340752582484,0.0635427072332276,0.0609430847912731,0.0557343134988246,0.0536868216860998,ac3-n6_2025-04-08_21-28-59.638902
Set_11_bigbird_2024-12-31_04-01-26.627785_3.18436363636364e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 05:27:05.251016,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,3.18436363636364e-07,3.18436363636364e-06,0,0.3,0.033,2e-04,0,1,1,0.0492315117924863,0.0468165570201784,0.065392970934837,0.0627429823621512,0.0584214490355656,0.0562535534603182,ac3-n6_2025-04-08_21-29-14.448273
Set_11_bigbird_2024-12-31_04-07-41.572745_3.28545454545454e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 05:33:30.721619,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,3.28545454545454e-07,3.28545454545454e-06,0,0.3,0.033,2e-04,0,1,1,0.0617976647891995,0.0588591465438104,0.0661479138858664,0.0633442105017335,0.0573344418489418,0.0551790536820407,ac3-n5_2025-04-08_22-26-52.80402
Set_11_bigbird_2024-12-31_04-16-27.081666_3.336e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 05:52:44.676799,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,3.336e-07,3.336e-06,0,0.3,0.033,2e-04,0,1,1,0.0586653877995738,0.0559770319688218,0.0714279654541543,0.0683938790723618,0.0627366041421939,0.0603294902856868,ac3-n6_2025-04-08_23-03-43.907307
