Set_ID,sim,Time,end_gen,ngen1,ngen2,Ne,n_ind,n_ind_exp,n_cages,sequence_length,r_msp,r,r_expt,mu_msp,mu,mu_expt,shape,scale,mut_ratio,flip_sel_coef,Ve_w,Ve_w_expt,va_true,va_left,time_stamp_va_left
Set_7_c3_2024-12-19_00-22-13.566613_1.0549494949495e-07_0.5_2_1000_10_4_0_0,1,2024-12-19 00:48:24.901546,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.0549494949495e-07,1.0549494949495e-06,0,0.3,0.1,0,0,1,1,0.062766408192786,0.0429032870066674,ac3-n6_2025-03-13_15-47-35.543315
Set_7_c3_2024-12-19_00-29-43.823483_1.0979797979798e-07_0.5_2_1000_10_4_0_0,1,2024-12-19 00:55:49.847842,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.0979797979798e-07,1.0979797979798e-06,0,0.3,0.1,0,0,1,1,0.069132887913057,0.0488308216124105,ac3-n6_2025-03-13_15-47-21.965451
Set_7_c3_2024-12-19_00-52-43.550754_1.25575757575758e-07_0.5_2_1000_10_4_0_0,1,2024-12-19 01:17:55.313632,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.25575757575758e-07,1.25575757575758e-06,0,0.3,0.1,0,0,1,1,0.0912181723290953,0.0668058737888096,ac3-n6_2025-03-13_15-57-43.245503
Set_7_c3_2024-12-19_00-58-28.98978_1.28444444444444e-07_0.5_2_1000_10_4_0_0,1,2024-12-19 01:24:28.650383,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.28444444444444e-07,1.28444444444444e-06,0,0.3,0.1,0,0,1,1,0.0823653332079887,0.0574415863327502,ac3-n6_2025-03-13_15-57-52.658728
Set_7_c3_2024-12-19_01-02-58.594241_1.31313131313131e-07_0.5_2_1000_10_4_0_0,1,2024-12-19 01:29:13.106395,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.31313131313131e-07,1.31313131313131e-06,0,0.3,0.1,0,0,1,1,0.0833036434613279,0.0569167491776753,ac3-n6_2025-03-13_15-57-56.664563
Set_7_c3_2024-12-19_01-06-28.602328_1.35616161616162e-07_0.5_2_1000_10_4_0_0,1,2024-12-19 01:33:20.54808,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.35616161616162e-07,1.35616161616162e-06,0,0.3,0.1,0,0,1,1,0.0874451103345101,0.0601920272774747,ac3-n6_2025-03-13_15-58-17.123975
Set_7_c3_2024-12-19_01-25-28.592786_1.47090909090909e-07_0.5_2_1000_10_4_0_0,1,2024-12-19 01:53:57.18971,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.47090909090909e-07,1.47090909090909e-06,0,0.3,0.1,0,0,1,1,0.089495884428908,0.0631444721382993,ac3-n6_2025-03-13_15-57-53.823732
Set_7_c3_2024-12-19_01-32-43.701929_1.51393939393939e-07_0.5_2_1000_10_4_0_0,1,2024-12-19 02:01:57.445517,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.51393939393939e-07,1.51393939393939e-06,0,0.3,0.1,0,0,1,1,0.0996004641818202,0.0709004171175489,ac3-n6_2025-03-13_15-59-50.496796
Set_7_c3_2024-12-19_01-41-43.653415_1.57131313131313e-07_0.5_2_1000_10_4_0_0,1,2024-12-19 02:10:22.986062,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.57131313131313e-07,1.57131313131313e-06,0,0.3,0.1,0,0,1,1,0.101143755107144,0.0706980708683812,ac3-n6_2025-03-13_15-59-03.916803
Set_7_c4_2024-12-18_22-42-44.142717_2.8040404040404e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 22:59:56.139089,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,2.8040404040404e-08,2.8040404040404e-07,0,0.3,0.1,0,0,1,1,0.0172283013972808,0.0120726235743353,ac3-n6_2025-03-13_16-02-03.480379
Set_7_c4_2024-12-18_23-06-43.502448_3.95151515151515e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:19:22.831212,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,3.95151515151515e-08,3.95151515151515e-07,0,0.3,0.1,0,0,1,1,0.0240402132713102,0.0178855514307097,ac3-n6_2025-03-13_16-02-12.869259
Set_7_c4_2024-12-18_23-25-13.414682_5.38585858585859e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:38:02.006059,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,5.38585858585859e-08,5.38585858585859e-07,0,0.3,0.1,0,0,1,1,0.0350045681180135,0.0243690005116411,ac3-n6_2025-03-13_16-02-13.719157
Set_7_c4_2024-12-18_23-43-13.420203_7.25050505050505e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:57:29.450407,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,7.25050505050505e-08,7.25050505050505e-07,0,0.3,0.1,0,0,1,1,0.0483803692810337,0.0316876787643973,ac3-n6_2025-03-13_16-01-47.949124
Set_7_c4_2024-12-18_23-59-43.47803_8.68484848484849e-08_0.5_2_1000_10_4_0_0,1,2024-12-19 00:15:03.150151,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,8.68484848484849e-08,8.68484848484849e-07,0,0.3,0.1,0,0,1,1,0.0591869575727926,0.0424836889075029,ac3-n6_2025-03-13_16-01-41.3258
Set_7_c5_2024-12-18_22-42-43.276299_1.8e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 22:52:27.990534,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.8e-08,1.8e-07,0,0.3,0.1,0,0,1,1,0.00994447194133226,0.0072435315691546,ac3-n6_2025-03-13_16-05-06.843494
Set_7_c5_2024-12-18_22-42-43.294989_2.23030303030303e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 22:57:20.231889,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,2.23030303030303e-08,2.23030303030303e-07,0,0.3,0.1,0,0,1,1,0.0127346515965776,0.0089310658522346,ac3-n6_2025-03-13_16-04-35.74004
Set_7_c5_2024-12-18_22-42-43.448978_2.51717171717172e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 22:57:49.361945,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,2.51717171717172e-08,2.51717171717172e-07,0,0.3,0.1,0,0,1,1,0.0147785221861225,0.0106006356930863,ac3-n6_2025-03-13_16-05-40.431801
Set_7_c5_2024-12-18_22-42-43.450217_1.94343434343434e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 22:54:02.848068,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.94343434343434e-08,1.94343434343434e-07,0,0.3,0.1,0,0,1,1,0.0125886656152556,0.00911731569899568,ac3-n6_2025-03-13_16-11-13.348644
Set_7_c5_2024-12-18_22-42-43.451498_2.08686868686869e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 22:53:33.053299,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,2.08686868686869e-08,2.08686868686869e-07,0,0.3,0.1,0,0,1,1,0.015696001393426,0.0100337655124197,ac3-n6_2025-03-13_16-11-46.624985
Set_7_c5_2024-12-18_22-42-43.455615_2.94747474747475e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:00:31.887776,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,2.94747474747475e-08,2.94747474747475e-07,0,0.3,0.1,0,0,1,1,0.0183134045697219,0.0131592012401416,ac3-n6_2025-03-13_16-11-27.697594
Set_7_c5_2024-12-18_23-03-12.855329_3.23434343434343e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:17:13.572828,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,3.23434343434343e-08,3.23434343434343e-07,0,0.3,0.1,0,0,1,1,0.0223262568633226,0.0154633426367075,ac3-n6_2025-03-13_16-11-19.899441
Set_7_c5_2024-12-18_23-03-46.567245_3.37777777777778e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:17:34.891361,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,3.37777777777778e-08,3.37777777777778e-07,0,0.3,0.1,0,0,1,1,0.0229481299796447,0.0156131763476479,ac3-n6_2025-03-13_16-11-12.9668
Set_7_c5_2024-12-18_23-04-29.206722_3.52121212121212e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:17:40.913006,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,3.52121212121212e-08,3.52121212121212e-07,0,0.3,0.1,0,0,1,1,0.0245694330469949,0.0174195501519027,ac3-n6_2025-03-13_16-11-18.760139
Set_7_c5_2024-12-18_23-06-42.855091_4.09494949494949e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:23:32.599233,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,4.09494949494949e-08,4.09494949494949e-07,0,0.3,0.1,0,0,1,1,0.0254390294596722,0.0176523025434534,ac3-n6_2025-03-13_16-11-34.675314
Set_7_c5_2024-12-18_23-06-42.906337_3.80808080808081e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:19:16.298387,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,3.80808080808081e-08,3.80808080808081e-07,0,0.3,0.1,0,0,1,1,0.0223302913018135,0.0159932415146013,ac3-n6_2025-03-13_16-13-15.813441
Set_7_c5_2024-12-18_23-09-27.854857_4.23838383838384e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:24:57.838421,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,4.23838383838384e-08,4.23838383838384e-07,0,0.3,0.1,0,0,1,1,0.0267106509646915,0.0188303175072886,ac3-n6_2025-03-13_16-13-32.275511
Set_7_c5_2024-12-18_23-11-27.908373_4.38181818181818e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:27:10.580463,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,4.38181818181818e-08,4.38181818181818e-07,0,0.3,0.1,0,0,1,1,0.0278409754763195,0.0200109032631688,ac3-n6_2025-03-13_16-14-34.63559
Set_7_c5_2024-12-18_23-23-42.778991_4.66868686868687e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:34:28.470991,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,4.66868686868687e-08,4.66868686868687e-07,0,0.3,0.1,0,0,1,1,0.0293790303026921,0.0218791304966746,ac3-n6_2025-03-13_16-14-13.680604
Set_7_c5_2024-12-18_23-23-57.917735_4.81212121212121e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:35:02.423206,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,4.81212121212121e-08,4.81212121212121e-07,0,0.3,0.1,0,0,1,1,0.0295244731388118,0.0200326154997251,ac3-n6_2025-03-13_16-14-51.006989
Set_7_c5_2024-12-18_23-24-57.774643_5.0989898989899e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:36:06.325266,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,5.0989898989899e-08,5.0989898989899e-07,0,0.3,0.1,0,0,1,1,0.0339603700190956,0.0238062625452328,ac3-n6_2025-03-13_16-15-42.49453
Set_7_c5_2024-12-18_23-26-57.799675_5.52929292929293e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:38:13.977098,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,5.52929292929293e-08,5.52929292929293e-07,0,0.3,0.1,0,0,1,1,0.0391361229766439,0.0261522471364918,ac3-n6_2025-03-13_16-17-16.093728
Set_7_c5_2024-12-18_23-27-42.896108_5.67272727272727e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:39:13.875802,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,5.67272727272727e-08,5.67272727272727e-07,0,0.3,0.1,0,0,1,1,0.0354365116050064,0.0255980529372495,ac3-n6_2025-03-13_16-17-02.269174
Set_7_c5_2024-12-18_23-28-57.882811_5.81616161616162e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:40:53.869582,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,5.81616161616162e-08,5.81616161616162e-07,0,0.3,0.1,0,0,1,1,0.0397718371234034,0.0292276511090185,ac3-n6_2025-03-13_16-23-05.437906
Set_7_c5_2024-12-18_23-32-57.874183_5.95959595959596e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:45:01.289784,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,5.95959595959596e-08,5.95959595959596e-07,0,0.3,0.1,0,0,1,1,0.0392807460631662,0.0290189967798005,ac3-n6_2025-03-13_16-23-07.425096
Set_7_c5_2024-12-18_23-35-42.930831_6.1030303030303e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:47:52.110358,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,6.1030303030303e-08,6.1030303030303e-07,0,0.3,0.1,0,0,1,1,0.042405222798629,0.0279934203073885,ac3-n6_2025-03-13_16-23-37.356175
Set_7_c5_2024-12-18_23-36-27.821229_6.24646464646465e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:49:05.221618,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,6.24646464646465e-08,6.24646464646465e-07,0,0.3,0.1,0,0,1,1,0.0419232811213057,0.0287319236737129,ac3-n6_2025-03-13_16-23-24.533332
Set_7_c5_2024-12-18_23-39-12.858887_6.53333333333333e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:51:23.971429,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,6.53333333333333e-08,6.53333333333333e-07,0,0.3,0.1,0,0,1,1,0.040205114195577,0.0266820797917526,ac3-n6_2025-03-13_16-23-24.558878
Set_7_c5_2024-12-18_23-39-27.89167_6.67676767676768e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:51:55.138137,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,6.67676767676768e-08,6.67676767676768e-07,0,0.3,0.1,0,0,1,1,0.0400503961997706,0.0288524998841088,ac3-n6_2025-03-13_16-23-26.085883
Set_7_c5_2024-12-18_23-42-12.83637_6.96363636363636e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:55:12.553169,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,6.96363636363636e-08,6.96363636363636e-07,0,0.3,0.1,0,0,1,1,0.0475557578338617,0.0332845062412808,ac3-n6_2025-03-13_16-23-19.413577
Set_7_c5_2024-12-18_23-43-12.921112_7.10707070707071e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:56:47.250359,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,7.10707070707071e-08,7.10707070707071e-07,0,0.3,0.1,0,0,1,1,0.0468980157140925,0.032302617424541,ac3-n6_2025-03-13_16-23-52.010392
Set_7_c5_2024-12-18_23-46-12.902891_7.39393939393939e-08_0.5_2_1000_10_4_0_0,1,2024-12-18 23:59:56.160871,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,7.39393939393939e-08,7.39393939393939e-07,0,0.3,0.1,0,0,1,1,0.0445402697780697,0.0313941602549824,ac3-n6_2025-03-13_16-23-49.650778
Set_7_c5_2024-12-18_23-48-58.013599_7.53737373737374e-08_0.5_2_1000_10_4_0_0,1,2024-12-19 00:03:30.227756,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,7.53737373737374e-08,7.53737373737374e-07,0,0.3,0.1,0,0,1,1,0.0456487511707483,0.0317299088640975,ac3-n6_2025-03-13_16-24-26.651517
Set_7_c5_2024-12-18_23-50-12.928475_7.68080808080808e-08_0.5_2_1000_10_4_0_0,1,2024-12-19 00:03:56.7466,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,7.68080808080808e-08,7.68080808080808e-07,0,0.3,0.1,0,0,1,1,0.0478996800968259,0.0342748277020774,ac3-n6_2025-03-13_16-25-15.991975
Set_7_c5_2024-12-18_23-52-57.840238_7.96767676767677e-08_0.5_2_1000_10_4_0_0,1,2024-12-19 00:07:53.9983,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,7.96767676767677e-08,7.96767676767677e-07,0,0.3,0.1,0,0,1,1,0.0511446625308702,0.0359096218976698,ac3-n6_2025-03-13_16-25-18.823867
Set_7_c5_2024-12-18_23-55-12.843776_8.11111111111111e-08_0.5_2_1000_10_4_0_0,1,2024-12-19 00:10:09.182721,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,8.11111111111111e-08,8.11111111111111e-07,0,0.3,0.1,0,0,1,1,0.0544800998067593,0.0388720385524831,ac3-n6_2025-03-13_16-25-48.160087
Set_7_c5_2024-12-18_23-56-12.885505_8.25454545454546e-08_0.5_2_1000_10_4_0_0,1,2024-12-19 00:12:10.741203,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,8.25454545454546e-08,8.25454545454546e-07,0,0.3,0.1,0,0,1,1,0.0568533761726659,0.0393031954291111,ac3-n6_2025-03-13_16-27-50.960337
Set_7_c5_2024-12-18_23-57-57.90957_8.3979797979798e-08_0.5_2_1000_10_4_0_0,1,2024-12-19 00:13:35.272367,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,8.3979797979798e-08,8.3979797979798e-07,0,0.3,0.1,0,0,1,1,0.0540102670042336,0.0393431913471908,ac3-n6_2025-03-13_16-29-05.048259
Set_7_c5_2024-12-18_23-58-43.008723_8.54141414141414e-08_0.5_2_1000_10_4_0_0,1,2024-12-19 00:14:31.090269,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,8.54141414141414e-08,8.54141414141414e-07,0,0.3,0.1,0,0,1,1,0.0521326771434859,0.0379563364689686,ac3-n6_2025-03-13_16-34-57.043594
Set_7_c5_2024-12-19_00-00-57.912646_8.82828282828283e-08_0.5_2_1000_10_4_0_0,1,2024-12-19 00:16:17.362812,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,8.82828282828283e-08,8.82828282828283e-07,0,0.3,0.1,0,0,1,1,0.0592837035216537,0.0427101418512495,ac3-n6_2025-03-13_16-35-18.581247
Set_7_c5_2024-12-19_00-04-27.924021_8.97171717171717e-08_0.5_2_1000_10_4_0_0,1,2024-12-19 00:20:24.243632,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,8.97171717171717e-08,8.97171717171717e-07,0,0.3,0.1,0,0,1,1,0.0592573901058309,0.0392610724557044,ac3-n6_2025-03-13_16-35-51.747878
Set_7_c5_2024-12-19_00-05-00.674833_9.11515151515152e-08_0.5_2_1000_10_4_0_0,1,2024-12-19 00:21:12.952317,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,9.11515151515152e-08,9.11515151515152e-07,0,0.3,0.1,0,0,1,1,0.0587657691826855,0.0399357070512045,ac3-n6_2025-03-13_16-36-02.138951
Set_7_c5_2024-12-19_00-08-57.989868_9.25858585858586e-08_0.5_2_1000_10_4_0_0,1,2024-12-19 00:24:50.392243,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,9.25858585858586e-08,9.25858585858586e-07,0,0.3,0.1,0,0,1,1,0.0602990348527345,0.0419402602955584,ac3-n6_2025-03-13_16-36-26.645751
Set_7_c5_2024-12-19_00-11-12.836644_9.4020202020202e-08_0.5_2_1000_10_4_0_0,1,2024-12-19 00:27:01.409411,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,9.4020202020202e-08,9.4020202020202e-07,0,0.3,0.1,0,0,1,1,0.061234907778348,0.044033417345458,ac3-n6_2025-03-13_16-36-26.908815
Set_7_c5_2024-12-19_00-13-12.997307_9.54545454545455e-08_0.5_2_1000_10_4_0_0,1,2024-12-19 00:28:52.178258,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,9.54545454545455e-08,9.54545454545455e-07,0,0.3,0.1,0,0,1,1,0.0607216354440777,0.0433126181854835,ac3-n6_2025-03-13_16-36-14.802585
Set_7_c5_2024-12-19_00-14-42.824265_9.83232323232323e-08_0.5_2_1000_10_4_0_0,1,2024-12-19 00:30:43.749211,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,9.83232323232323e-08,9.83232323232323e-07,0,0.3,0.1,0,0,1,1,0.0591196695598277,0.0419287185575611,ac3-n6_2025-03-13_16-36-42.216338
Set_7_c5_2024-12-19_00-15-58.028115_1.01191919191919e-07_0.5_2_1000_10_4_0_0,1,2024-12-19 00:31:40.034886,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.01191919191919e-07,1.01191919191919e-06,0,0.3,0.1,0,0,1,1,0.0621710292301232,0.0431841308588342,ac3-n6_2025-03-13_16-36-48.872667
