"","Generation","Va","Q1","Q2","Q3"
"1",101000,1.73677698195936e-06,3.38694381804879e-05,-0.00086170629951744,-0.00107269273942464
"2",102000,2.35188197930706e-06,3.62007591862194e-05,-0.00622220745547728,-0.0113503367850996
"3",103000,1.33259275682024e-06,7.4346355791668e-06,-0.000597101466725398,-0.00101760399933401
"4",104000,3.07987503979988e-07,1.86855032159646e-06,-0.00182923440334854,-0.00298139905207028
"5",105000,6.83517447802091e-06,7.2283359968043e-06,0.000932560468989459,-0.00450744175493471
"6",106000,1.7749405441749e-06,0.0836203638837402,-2.22398298489291,0.233549244456064
"7",107000,6.64774271119252e-07,1.38785725843571e-06,-5.4724757768687e-05,0.000566751518489163
"8",108000,1.08489778226613e-06,1.21649128530083e-06,-5.15881348724552e-06,2.46477259139852e-05
"9",109000,1.3458183289483e-06,3.34272469111091e-06,-5.05679085954109e-05,0.00050157308019207
"10",110000,6.18964899038427e-07,1.84087820521077e-07,-4.49962938697549e-05,-0.000565875794779881
"11",111000,1.43615852016782e-07,6.6977757583511e-08,-1.03612294007236e-06,0.00036422103397384
"12",112000,8.8711387591189e-07,7.47494554054773e-07,-0.000170103799587638,0.000778217711693066
"13",113000,4.08852296588652e-06,5.57313760999107e-05,0.00143123436753708,0.00121785999498452
"14",114000,3.86755037365337e-06,0.000224809964220893,-0.00310956808403906,0.0449627517318206
"15",115000,1.95990537883126e-06,5.0246272382073e-05,0.00269986201512957,0.012164857424948
"16",116000,9.05463564014121e-07,1.91996954243426e-07,7.66449076727848e-05,0.000790276015081645
"17",117000,1.57850515069047e-06,1.61306189535178e-05,-0.00272168759257857,0.000416484183862804
"18",118000,1.13951220602941e-06,8.57167388359272e-06,-0.000191699241546885,-0.00228378083271763
"19",119000,3.2353078352796e-06,0.000146458348993152,0.00180162179748154,-0.00885175315036947
"20",120000,3.23798206836472e-06,4.06897617024552e-05,0.00211241942551592,-0.00327851422954011
"21",121000,9.3920321665439e-07,3.41994312738676e-06,-0.000624165284950482,-0.00315980595397696
"22",122000,8.93322288846191e-06,0.000689612827723667,0.0178825410842787,0.0820701504735851
"23",123000,8.60187953522296e-07,0.000533642224453472,-0.00746781470071262,0.00650624556135942
"24",124000,1.97175284574718e-06,0.0160436090594044,-2.75141877878589,-0.0850103376200888
"25",125000,7.59745945097187e-07,1.01707239954354e-06,0.000639585189081343,-0.000526030416780974
"26",126000,5.12091489996029e-07,5.44808696907469e-06,0.000399233676086189,0.00214987705535255
"27",127000,1.89146985668809e-06,0.000546827834591117,0.0595843834027874,-0.0119446840952353
"28",128000,6.15841497983543e-07,3.09222369316023e-06,-1.51683430867612e-05,0.000227162238881486
"29",129000,2.03503286111722e-06,7.06620214574127e-06,8.3183606007302e-05,-0.00122521141813239
"30",130000,2.39838788942714e-06,1.50752122741789e-05,-0.000197506967300122,9.83778398572592e-05
"31",131000,1.32595725256319e-06,4.21971896947882e-07,-0.00013024541829466,-0.000171138193998259
"32",132000,1.88842676533304e-06,1.67455091223645e-05,-0.117751327786197,0.00357028084189255
"33",133000,1.99806244174674e-07,4.39909221683457e-06,-1.21305657893296e-06,-0.0014669467139773
"34",134000,9.27335272605281e-07,1.87703093993004e-06,1.1873153052903e-05,0.000489066726810762
"35",135000,1.12620204836002e-07,7.35667950397185e-05,0.00439051684471514,-0.00648961181232633
"36",136000,2.4408568662377e-06,0.000143233490255067,0,0.00405104967447688
"37",137000,1.29047629504602e-06,1.62560569167236e-06,-4.38497661583667e-06,0.000206899268249098
"38",138000,1.12296416840919e-06,0.000186599718886437,0.0822078244144904,-0.0501268782453087
"39",139000,2.69716246815231e-06,1.07465498523763e-05,0.00128057752929968,0.00314439739774556
"40",140000,2.38270850298462e-07,0.000600506619411457,-0.0694605260769144,-0.00661794283519238
"41",141000,2.03443348416738e-06,2.92154765815267e-05,-0.00111767046764723,0.0026548134736155
"42",142000,3.68888084787934e-06,3.82271635368157e-05,-0.00162535480141211,-0.00114596466946785
"43",143000,1.10958435465157e-06,7.89105694872878e-05,0.00859374349612726,0.00584799853705138
"44",144000,1.44982628918826e-05,0.000167539842124522,-0.0295451591622588,-0.0264683554488245
"45",145000,2.48814549165494e-06,2.28724596064258e-06,-0.00066278124004335,-0.00247951919836743
"46",146000,4.91243760826845e-07,8.65399029802831e-07,-0.000316338228754062,-0.0022805023110851
"47",147000,3.83145476165606e-07,3.39090879471909e-05,0.00050227533571137,-0.000569665463389083
"48",148000,1.24333337369977e-06,0.000845712788925374,-0.679151333262925,-0.0839848980844251
"49",149000,1.66284245651105e-06,0.000222233599407761,0.00715163578649378,0.000201572886508929
"50",150000,9.48475164747554e-07,8.47125424593312e-07,-0.000961075832618306,0.00202573129797865
"51",151000,1.06379707720047e-06,1.55852895983756e-06,-0.000106460742051256,-0.000961437289182529
"52",152000,5.64835441766645e-07,3.59479135199201e-07,-9.98834417182333e-05,-0.000592251137650996
"53",153000,2.12528960126245e-06,4.48342326804758e-06,-0.00296824699092583,0.000150835440036013
"54",154000,5.85077084570901e-06,6.39117740230524e-06,0.000855878660797506,0.00255072785369902
"55",155000,6.70623662563764e-07,2.68936193592153e-05,-0.0198109057246335,-0.00063362753932402
"56",156000,2.14820483518383e-06,5.56521803628e-05,-0.0603490222829723,-0.0051600999715356
"57",157000,1.49145466747328e-06,2.11153925481266e-05,0.0491420322422128,0.0127058444458096
"58",158000,4.36236404668884e-07,3.99243734745259e-07,1.31351637117959e-05,-0.000621724291531721
"59",159000,1.39683918535564e-06,2.78981982018261e-06,-0.000433660431147752,-0.00938315641275496
"60",160000,5.41121443007752e-06,8.98750130379345e-06,0.00045498649264359,-0.00491362876225566
"61",161000,6.34011836759803e-07,1.12457797476442e-06,-6.58412266999427e-05,-0.000905929942476984
"62",162000,7.33095782031961e-07,1.5165598790405e-05,-0.00135594498496409,-0.0091318461919429
"63",163000,3.51287575933721e-06,4.1359677662497e-06,0.000174354728202164,-0.000326095960621696
"64",164000,4.36573468854714e-06,2.80118833389837e-05,-0.00159252606136093,-0.00580061226675873
"65",165000,6.85372124071841e-07,1.84841362498473e-06,-0.00112116532268402,0.00195765593248077
"66",166000,5.43839722247358e-07,6.75398726850433e-07,-0.000370646316560331,0.000919380873354784
"67",167000,3.40779063534137e-07,5.18865467659712e-07,-1.21516078849376e-06,1.06371707341724e-05
"68",168000,8.37681370834404e-07,3.14527993385499e-06,-0.000674075134865554,-0.00172096187641629
"69",169000,1.2381846651414e-06,1.10452639342773e-05,0.0001499789696897,0.0110902037254104
"70",170000,3.27359552175323e-06,0.000202761471257272,-0.00080891281228718,0.00772122485288453
"71",171000,8.63474671168204e-07,9.8944432363245e-05,-0.0113267644742093,-0.0130186518050376
"72",172000,1.21038663809242e-06,4.19705402712171e-07,0.000418362117524863,0.000991415580211038
"73",173000,1.22205256940571e-06,8.47051306973364e-06,-0.00390395656502315,0.0023202542714645
"74",174000,7.95678840371047e-06,1.9209940286648e-05,0.0631062480979619,0.023188417286837
"75",175000,9.97586626206169e-07,0.000143438238920847,0.138637918148011,-0.0364978476805371
"76",176000,1.46839883562985e-05,6.01579849523942,505.439215812332,-2.9401723644673
"77",177000,3.42558132523716e-07,7.3114081133842e-07,0.000505121739110896,-0.00128488812942339
"78",178000,5.67940979124501e-06,4.07644570092109e-05,0.000674645377390351,0.00332199878449577
"79",179000,1.89638010877504e-06,1.22039379398485e-05,0.0150498890598258,0.00890401514570109
