"Set_ID","Time","end_gen","ngen_expt","Ne","n_ind_exp","n_cages","sequence_length","r_msp","r","r_expt","mu_msp","mu","mu_neutral","shape","scale","mut_ratio","proj","LDdelta","pa","Vs","randomise","pdelta_method","bdelta_method","vA_true","vA_est","pdelta_est","pdelta_var_est","bdelta_intercept_est","bdelta_slope_est","seg_sites","bdelta_var_est","vA_left"
"bigbird_2024-07-02_00:08:19.604932_3.68686868686869e-09_1.4_1000_10_3","2024-07-02 00:10:17.211706","2","3","1330000","1000","10","1e+06","2.63157894736842e-09","1.4e-06","1.4e-06","6.93020429862536e-12","3.68686868686869e-09","2.31006809954179e-12","0.3","0.033","1","BLoM","FALSE","1","LoNL","TRUE","optim","estimate","0.018580942161489","0.0216713808620597","-0.171965246979371","0.0786610090320055","0.00115673127729752","-0.00557828430448317","383","2.01397730770757e-05_4.6236330801155e-05_2.58805007424468e-06","0.0185849283815003"
"Set_ID","Time","end_gen","ngen_expt","Ne","n_ind_exp","n_cages","sequence_length","r_msp","r","r_expt","mu_msp","mu","mu_neutral","shape","scale","mut_ratio","proj","LDdelta","pa","Vs","randomise","pdelta_method","bdelta_method","vA_true","vA_est","pdelta_est","pdelta_var_est","bdelta_intercept_est","bdelta_slope_est","seg_sites","bdelta_var_est","vA_left"
"bigbird_2024-07-02_00:10:19.633643_3.68686868686869e-09_1.4_1000_10_5","2024-07-02 00:12:26.389161","2","5","1330000","1000","10","1e+06","2.63157894736842e-09","1.4e-06","1.4e-06","6.93020429862536e-12","3.68686868686869e-09","2.31006809954179e-12","0.3","0.033","1","BLoM","FALSE","1","LoNL","TRUE","optim","estimate","0.0222484450615073","0.0253492025417124","-0.174918415504521","0.0291631328421026","0.000429341497263787","-0.0105395801922708","400","1.7823915476076e-05_3.77145594101152e-05_-1.98665724230807e-06","0.022264115945063"
"Set_ID","Time","end_gen","ngen_expt","Ne","n_ind_exp","n_cages","sequence_length","r_msp","r","r_expt","mu_msp","mu","mu_neutral","shape","scale","mut_ratio","proj","LDdelta","pa","Vs","randomise","pdelta_method","bdelta_method","vA_true","vA_est","pdelta_est","pdelta_var_est","bdelta_intercept_est","bdelta_slope_est","seg_sites","bdelta_var_est","vA_left"
"bigbird_2024-07-02_00:12:34.606222_3.85858585858586e-09_1.4_1000_3_3","2024-07-02 00:13:48.039725","2","3","1330000","1000","3","1e+06","2.63157894736842e-09","1.4e-06","1.4e-06","7.25298093719147e-12","3.85858585858586e-09","2.41766031239716e-12","0.3","0.033","1","BLoM","FALSE","1","LoNL","TRUE","optim","estimate","0.0175498512288615","0.027655484471913","0.0145449528646983","0.234416673421345","-0.00446668646969667","0.0017687214385084","428","3.29531916918484e-05_8.75700325564498e-05_6.13566806080566e-06","0.0175278499092794"
"Set_ID","Time","end_gen","ngen_expt","Ne","n_ind_exp","n_cages","sequence_length","r_msp","r","r_expt","mu_msp","mu","mu_neutral","shape","scale","mut_ratio","proj","LDdelta","pa","Vs","randomise","pdelta_method","bdelta_method","vA_true","vA_est","pdelta_est","pdelta_var_est","bdelta_intercept_est","bdelta_slope_est","seg_sites","bdelta_var_est","vA_left"
"bigbird_2024-07-02_00:14:04.648413_4.03030303030303e-09_0.014_1000_10_3","2024-07-02 00:15:13.563821","2","3","1330000","1000","10","1e+06","2.63157894736842e-11","1.4e-08","1.4e-08","7.57575757575758e-12","4.03030303030303e-09","2.52525252525252e-12","0.3","0.033","1","BLoM","FALSE","1","LoNL","TRUE","optim","estimate","0.0145074195126029","0.0103730391396547","0.33447552423318","0.826372563650777","0.00104041078181763","-0.00538275093279179","452","2.56276481033443e-05_3.07156252418707e-05_-5.9574956980402e-07","0.0144906887563952"
"Set_ID","Time","end_gen","ngen_expt","Ne","n_ind_exp","n_cages","sequence_length","r_msp","r","r_expt","mu_msp","mu","mu_neutral","shape","scale","mut_ratio","proj","LDdelta","pa","Vs","randomise","pdelta_method","bdelta_method","vA_true","vA_est","pdelta_est","pdelta_var_est","bdelta_intercept_est","bdelta_slope_est","seg_sites","bdelta_var_est","vA_left"
"bigbird_2024-07-02_00:15:19.729834_4.03030303030303e-09_1.4_1000_10_1","2024-07-02 00:16:59.244694","2","1","1330000","1000","10","1e+06","2.63157894736842e-09","1.4e-06","1.4e-06","7.57575757575758e-12","4.03030303030303e-09","2.52525252525252e-12","0.3","0.033","1","BLoM","FALSE","1","LoNL","TRUE","optim","estimate","0.0190826922429672","0.00620862589622814","-0.385910366813556","0.402690758065942","0.000829271074287632","-0.00536827907396724","407","2.31165814041541e-05_7.61318072977308e-05_6.23694458436509e-07","0.019061807031479"
